entidade_id,logradouro,numero,cep,localidade,municipio,estado
fdfbb7d1-934f-4e3f-9648-695e42a7e8fc,AV. SANTA BERNADETHE,1131,81010-200,LINDÓIA,Curitiba,PR
c9483ff7-f536-47c2-8f6f-e506dae9aeb8,R. LEON TOLSTOI,365,81010-090,LINDÓIA,Curitiba,PR
8439279d-d963-4bff-90b3-469b12baac8c,R. ANTERO DE QUENTAL,303,81010-150,LINDÓIA,Curitiba,PR
9fc777aa-0f4f-462a-876c-07c16336dfe6,AV. PRESIDENTE WENCESLAU BRAZ,2683,81010-000,LINDÓIA,Curitiba,PR
35546f92-e364-43c7-b7fb-fd6aefa87d20,R. AMÉRICO VESPÚCIO,60,81010-250,LINDÓIA,Curitiba,PR
bb739a2a-f59a-4dff-832d-dcb85793576b,AV. PRESIDENTE WENCESLAU BRAZ,2509,81010-000,LINDÓIA,Curitiba,PR
9dab48c0-d23d-4650-916d-5ad1a3b75163,AV. SANTA BERNADETHE,1131,81010-200,LINDÓIA,Curitiba,PR
a44d9b2a-e5f2-45ef-99b4-b5a29baed61e,R. CONDE DOS ARCOS,720,81010-120,LINDÓIA,Curitiba,PR
9a09a87b-7a5f-49be-8d34-0258f75fc760,AV. PRESIDENTE WENCESLAU BRAZ,1243,81010-000,LINDÓIA,Curitiba,PR
0a9f1c37-058c-4159-a624-7309d3f766d0,R. TOMÉ DE SOUZA,67,81010-010,LINDÓIA,Curitiba,PR
c88e6d27-ef44-460a-8d59-b33dc86276d1,R. CAMILO CASTELO BRANCO,665,81010-170,LINDÓIA,Curitiba,PR
c2b7fd9b-bffe-4bec-83a8-7decb8ce9adc,R. DJALMA FERREIRA MACIEL,1182,81010-270,LINDÓIA,Curitiba,PR
a8fc26f7-c532-44bf-ba79-08e52bad7a4e,AV. SANTA BERNADETHE,868,81010-200,LINDÓIA,Curitiba,PR
e4e2c6c7-f352-4442-a955-dae1b0833cf7,R. LEON TOLSTOI,515,81010-090,LINDÓIA,Curitiba,PR
ffe2495b-4a59-4e3c-9d4a-8e3c1ce8b5c6,R. JOSINA RAMOS RÉGIO,55,81010-210,LINDÓIA,Curitiba,PR
2b68d03f-f801-453c-b0b3-078a80bcd974,R. CONDE DOS ARCOS,347,81010-120,LINDÓIA,Curitiba,PR
50e56a8d-56b2-4772-82a1-f501ab6cef75,R. ALEIXO BETTEGA,87,81010-280,LINDÓIA,Curitiba,PR
baf49963-ca37-4341-abaf-195ff3a56451,R. SANTA JOANA DARC,869,81010-190,LINDÓIA,Curitiba,PR
7ca91c64-fd63-4685-9b77-d14be47ab6d8,R. CONDE DOS ARCOS,662,81010-000,LINDÓIA,Curitiba,PR
f4292610-4e8c-4d02-9245-ed1f15e17409,AV. PRESIDENTE WENCESLAU BRAZ,1893,81010-000,LINDÓIA,Curitiba,PR
0cef62e2-1fe5-4dfc-97cd-cacd12a5c27e,R. CONDE DOS ARCOS,1311,81010-120,LINDÓIA,Curitiba,PR
34bfd0a0-06fa-42c6-abb0-8c06bd306184,R. LEON TOLSTOI,531,81010-090,LINDÓIA,Curitiba,PR
d8b3407f-ff72-4e3e-9006-b04ed127af95,R. TOMÉ DE SOUZA,180,81010-010,LINDÓIA,Curitiba,PR
cdbcc774-f6dd-4da7-bded-377458fbdc22,R. SANTA JOANA DARC,310,81010-190,LINDÓIA,Curitiba,PR
a42136c6-ec13-4b21-acc4-fb06738500de,R. AMÉRICO VESPÚCIO,295,81010-250,LINDÓIA,Curitiba,PR
60295108-04d8-4c44-862a-d9b66e29fff1,AV. HENRY FORD,1870,81010-100,LINDÓIA,Curitiba,PR
4b8addc3-8998-480f-b17d-00f44d241d09,R. LEON TOLSTOI,1340,81010-090,LINDÓIA,Curitiba,PR
0719c57d-c049-4d74-9ec1-40b84f95980f,R. LEON TOLSTOI,761,81010-090,LINDÓIA,Curitiba,PR
4f759ddf-85e9-499a-83db-760b2e8bd8b4,R. EMILE ZOLA,476,81010-260,LINDÓIA,Curitiba,PR
94ea4f05-d7fc-44a8-9064-fc5f6103b5c1,R. PROFESSOR OSCAR KOLBE,218,81010-240,LINDÓIA,Curitiba,PR
5e717a6e-5167-4a72-9f85-bc0cf2673b7b,R. AMÉRICO VESPÚCIO,649,81010-250,LINDÓIA,Curitiba,PR
bdca29d0-587b-4f0f-8ce2-831612cb421a,R. CONDE DOS ARCOS,698,81010-120,LINDÓIA,Curitiba,PR
355836e0-6b4a-41a2-addc-edc987caec3a,R. CAPITÃO JOÃO ZALESKI,842,81010-080,LINDÓIA,Curitiba,PR
422eba23-5e03-433e-872d-3a4ea1b9fd20,R. CAPITÃO JOÃO ZALESKI,842,81010-080,LINDÓIA,Curitiba,PR
78434a37-f3e2-43e6-b7c3-69bbe4538fef,AV. PRESIDENTE WENCESLAU BRAZ,2661,81010-000,LINDÓIA,Curitiba,PR
fad45c8f-7be5-4a23-b7c6-e95db541a6b7,R. AMÉRICO VESPÚCIO,579,81010-250,LINDÓIA,Curitiba,PR
9eedd4a8-8479-4f5b-8275-228a53451038,R. CAPITÃO JOÃO ZALESKI,1275,81010-080,LINDÓIA,Curitiba,PR
29c7ae26-6814-48c6-94b9-30626516893d,AV. PRESIDENTE WENCESLAU BRAZ,2485,81010-000,LINDÓIA,Curitiba,PR
